loan_amount,value_per_installment,value_future,payment_term,capitalized_interest,months,installment_percent,loan_purpose_radio_tv,loan_purpose_car_used,installment_plans_none,loan_purpose_furniture,loan_purpose_appliances,allow
6332.0,1583.0,6787.904,558.0,455.904,6.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
4393.0,1464.3333333333333,4393.0,744.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
250.0,125.0,250.0,390.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
4618.0,1539.3333333333333,5227.576000000001,330.0,609.576,11.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
5927.0,1481.75,6709.3640000000005,1080.0,782.3639999999999,11.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
6500.0,1625.0,6968.0,930.0,468.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
1841.0,920.5,1951.46,527.0,110.46,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
6616.0,2205.3333333333335,6695.392,1147.0,79.392,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
3822.0,1274.0,4143.048000000001,600.0,321.048,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4548.0,1137.0,4930.032,589.0,382.032,7.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
4204.0,1401.3333333333333,4355.344,837.0,151.344,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
5844.0,1948.0,6124.512000000001,870.0,280.512,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
2771.0,1385.5,2904.0080000000003,124.0,133.008,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
5799.0,1159.8,5868.588,1147.0,69.58800000000001,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
4449.0,1483.0,4502.388,780.0,53.388,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
5645.0,1411.25,5780.4800000000005,810.0,135.48,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
7061.0,2353.6666666666665,7484.660000000001,899.0,423.65999999999997,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
5130.0,1710.0,5807.160000000001,713.0,677.1600000000001,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
7089.0,1417.8,7429.272,1230.0,340.272,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
1102.0,367.3333333333333,1168.1200000000001,900.0,66.12,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
2817.0,1408.5,2986.02,527.0,169.02,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
5835.0,1458.75,6605.22,1080.0,770.2199999999999,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
5119.0,1279.75,5119.0,1110.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
1957.0,652.3333333333334,2121.388,589.0,164.388,7.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
250.0,250.0,262.0,496.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
250.0,250.0,268.0,558.0,18.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1631.0,815.5,1650.5720000000001,780.0,19.572,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
3733.0,1244.3333333333333,4091.3680000000004,240.0,358.368,8.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
8265.0,2066.25,8265.0,1110.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
250.0,250.0,268.0,558.0,18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2668.0,889.3333333333334,2860.096,1290.0,192.096,6.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
4673.0,1557.6666666666667,5121.608,992.0,448.608,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
250.0,83.33333333333333,283.00000000000006,341.0,33.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2897.0,965.6666666666666,3244.6400000000003,690.0,347.64000000000004,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
881.0,440.5,944.432,570.0,63.432,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
3786.0,1262.0,4104.024,600.0,318.024,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
250.0,83.33333333333333,262.0,496.0,12.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
6474.0,1618.5,6784.752,1230.0,310.752,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
690.0,230.0,690.0,744.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
3539.0,1179.6666666666667,3963.6800000000003,682.0,424.68000000000006,10.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
6177.0,1235.4,6695.868,1320.0,518.8679999999999,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
250.0,250.0,262.0,510.0,12.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1722.0,861.0,1866.6480000000001,589.0,144.64800000000002,7.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
250.0,125.0,271.0,589.0,21.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
3161.0,1580.5,3578.2520000000004,713.0,417.252,11.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
5966.0,1193.2,6467.144,961.0,501.144,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0
8838.0,1767.6,9792.504,1380.0,954.504,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
440.0,220.0,482.24,240.0,42.24,8.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2974.0,991.3333333333334,3259.5040000000004,620.0,285.504,8.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
6810.0,1702.5,7627.200000000001,1054.0,817.2,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
4534.0,1133.5,4806.04,540.0,272.04,5.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0
3789.0,947.25,3925.404,840.0,136.404,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
5537.0,1384.25,6267.884000000001,341.0,730.884,11.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
1529.0,509.6666666666667,1529.0,372.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
3454.0,1727.0,3661.2400000000002,540.0,207.24,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2018.0,1009.0,2260.1600000000003,1050.0,242.16000000000003,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
922.0,922.0,944.128,434.0,22.128,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1918.0,639.3333333333334,1964.0320000000002,810.0,46.032000000000004,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
1680.0,560.0,1760.64,496.0,80.64,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
6111.0,1222.2,6550.992,930.0,439.9920000000001,6.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
2402.0,600.5,2517.2960000000003,868.0,115.296,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
4480.0,1493.3333333333333,4802.56,570.0,322.56,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
6086.0,1521.5,6889.352000000001,720.0,803.352,11.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
3624.0,1812.0,3884.9280000000003,930.0,260.928,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
3091.0,1030.3333333333333,3091.0,390.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
5629.0,1876.3333333333333,5831.644,837.0,202.644,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
5279.0,1759.6666666666667,5279.0,744.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
329.0,164.5,364.53200000000004,270.0,35.532,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4137.0,1379.0,4137.0,372.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
1107.0,553.5,1146.852,465.0,39.852000000000004,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
2492.0,623.0,2551.808,434.0,59.808,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
7877.0,1575.4,8444.144,1290.0,567.144,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
4070.0,2035.0,4118.84,403.0,48.84,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
5468.0,1367.0,5664.848,837.0,196.848,3.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
6905.0,1726.25,7153.58,837.0,248.57999999999998,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0
3897.0,1299.0,3897.0,372.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
472.0,472.0,505.98400000000004,570.0,33.983999999999995,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4929.0,1232.25,4929.0,390.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
5361.0,1787.0,5618.328,868.0,257.32800000000003,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
250.0,83.33333333333333,262.0,124.0,12.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
3370.0,1123.3333333333333,3370.0,390.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
1070.0,356.6666666666667,1134.2,540.0,64.2,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
4037.0,1345.6666666666667,4521.4400000000005,300.0,484.44000000000005,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
340.0,170.0,384.88000000000005,330.0,44.88,11.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
2159.0,719.6666666666666,2340.356,961.0,181.356,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
5283.0,1320.75,5853.564,1020.0,570.564,9.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
6676.0,1669.0,6916.336,1209.0,240.33599999999998,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
3411.0,852.75,3411.0,750.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
6693.0,1673.25,6773.316,780.0,80.316,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
5614.0,1403.5,5681.368,775.0,67.368,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
4781.0,1593.6666666666667,4781.0,372.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
2732.0,1366.0,2961.4880000000003,600.0,229.488,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
3007.0,1503.5,3295.6720000000005,240.0,288.672,8.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
2849.0,949.6666666666666,3156.6920000000005,660.0,307.692,9.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
1507.0,502.3333333333333,1507.0,744.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
5566.0,1391.5,5966.752,930.0,400.752,6.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
250.0,125.0,268.0,180.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2160.0,540.0,2185.92,775.0,25.92,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
250.0,125.0,283.00000000000006,341.0,33.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
6327.0,1581.75,6554.772,1200.0,227.77200000000002,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
2241.0,747.0,2348.568,496.0,107.568,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
6322.0,1264.4,6473.728,1170.0,151.728,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
6599.0,1319.8,6915.752,870.0,316.752,4.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0
1353.0,676.5,1499.124,660.0,146.124,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
5588.0,1397.0,5655.0560000000005,1140.0,67.056,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3074.0,768.5,3332.2160000000003,600.0,258.216,7.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
862.0,431.0,944.7520000000001,620.0,82.752,8.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2484.0,828.0,2484.0,744.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
9225.0,2306.25,9889.2,930.0,664.2,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
3480.0,1160.0,3855.84,651.0,375.84,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
4921.0,1640.3333333333333,5039.104,434.0,118.104,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2196.0,549.0,2512.224,360.0,316.224,12.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
5794.0,1448.5,6558.808000000001,1080.0,764.8080000000001,11.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
5172.0,1293.0,5544.384,558.0,372.384,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
4758.0,1189.5,5214.768,990.0,456.76800000000003,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
1371.0,685.5,1420.356,480.0,49.35600000000001,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
2792.0,930.6666666666666,2792.0,750.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
250.0,250.0,262.0,120.0,12.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
5602.0,1120.4,6274.240000000001,1050.0,672.24,10.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0
1602.0,534.0,1602.0,372.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
250.0,83.33333333333333,268.0,186.0,18.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
5201.0,1300.25,5263.412,775.0,62.412,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
4496.0,1498.6666666666667,4657.856,465.0,161.856,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
5126.0,1281.5,5126.0,1110.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0
5577.0,1859.0,6112.392000000001,240.0,535.392,8.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
2066.0,516.5,2313.92,690.0,247.92000000000002,10.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
944.0,314.6666666666667,1068.6080000000002,330.0,124.60799999999999,11.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
2989.0,996.3333333333334,3096.6040000000003,840.0,107.60400000000001,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
3280.0,1640.0,3712.9600000000005,713.0,432.96,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
1283.0,641.5,1390.7720000000002,589.0,107.772,7.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
2588.0,1294.0,2619.056,420.0,31.056,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
4655.0,1163.75,5269.460000000001,713.0,614.46,11.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
4623.0,1155.75,4844.904,870.0,221.904,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
5422.0,1084.4,6072.64,1054.0,650.6400000000001,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
5786.0,1157.2,6133.16,900.0,347.16,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
7405.0,1481.0,8293.6,1054.0,888.6,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
250.0,83.33333333333333,262.0,124.0,12.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
888.0,444.0,973.248,248.0,85.248,8.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
2871.0,717.75,3043.26,899.0,172.26,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6394.0,1278.8,7007.8240000000005,992.0,613.8240000000001,8.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
6266.0,3133.0,6266.0,744.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
9545.0,3181.6666666666665,10690.400000000001,1054.0,1145.4,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
6064.0,2021.3333333333333,6646.144,992.0,582.144,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
3705.0,1235.0,3749.46,780.0,44.46,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
3012.0,1506.0,3084.288,450.0,72.288,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
4520.0,1506.6666666666667,4845.4400000000005,186.0,325.44,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
4869.0,2434.5,5511.7080000000005,713.0,642.7080000000001,11.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
6460.0,1292.0,6925.120000000001,930.0,465.12,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
5281.0,1760.3333333333333,5787.976000000001,630.0,506.976,8.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
6523.0,1630.75,7384.036000000001,1085.0,861.036,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1657.0,828.5,1736.536,124.0,79.536,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
5376.0,1344.0,5505.024,810.0,129.024,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
4119.0,1029.75,4662.7080000000005,1085.0,543.7080000000001,11.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
5209.0,1302.25,5834.080000000001,1050.0,625.08,10.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
2165.0,1082.5,2424.8,300.0,259.8,10.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2337.0,779.0,2337.0,390.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
2660.0,886.6666666666666,2979.2000000000003,1050.0,319.20000000000005,10.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
6434.0,1286.8,6665.624,1209.0,231.624,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
5644.0,1411.0,6253.552000000001,1380.0,609.5519999999999,9.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
763.0,763.0,817.936,180.0,54.93600000000001,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5380.0,2690.0,5380.0,372.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
250.0,250.0,262.0,124.0,12.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3689.0,1844.5,3733.268,403.0,44.268,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
9054.0,2263.5,9488.592,868.0,434.592,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
9856.0,1642.6666666666667,10447.36,1260.0,591.36,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
3700.0,925.0,4144.0,1054.0,444.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
3451.0,862.75,3782.2960000000003,620.0,331.296,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
2429.0,809.6666666666666,2429.0,750.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
1582.0,791.0,1600.984,420.0,18.984,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
250.0,125.0,265.0,527.0,15.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
4916.0,1638.6666666666667,5623.904,360.0,707.904,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
250.0,125.0,274.0,240.0,24.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
250.0,125.0,265.0,155.0,15.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
4514.0,1128.5,5001.512000000001,1023.0,487.512,9.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
6029.0,2009.6666666666667,6318.392,868.0,289.392,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
6061.0,1515.25,6206.464,1178.0,145.464,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
1993.0,498.25,2160.4120000000003,589.0,167.412,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
8141.0,1628.2,8336.384,810.0,195.38400000000001,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
4533.0,1133.25,4750.584,510.0,217.584,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0
5072.0,1690.6666666666667,5193.728,806.0,121.72800000000001,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
3000.0,1000.0,3180.0,900.0,180.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
